"STUDIEJAAR","PROVINCIENAAM","GEMEENTENUMMER","GEMEENTENAAM","SOORT_INSTELLING","TYPE_HOGER_ONDERWIJS","INSTELLINGSCODE_ACTUEEL","INSTELLINGSNAAM_ACTUEEL","ONDERDEEL","SUBONDERDEEL","OPLEIDINGSCODE_ACTUEEL","OPLEIDINGSNAAM_ACTUEEL","AANTAL_INSCHRIJVINGEN"
"2020","Drenthe","0114","Emmen","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","35520","B Finance & Control",139
"2020","Drenthe","0114","Emmen","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","35522","B Logistics Management",97
"2020","Drenthe","0114","Emmen","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","34808","B Opleiding tot leraar Basisonderwijs",303
"2020","Drenthe","0114","Emmen","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","34280","B Werktuigbouwkunde",88
"2020","Drenthe","0114","Emmen","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","34396","B Chemie",38
"2020","Drenthe","0114","Emmen","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","34397","B Biologie en Medisch Laboratoriumonderzoek",69
"2020","Drenthe","0114","Emmen","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","34475","B Technische Informatica",39
"2020","Drenthe","0114","Emmen","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","34479","B Informatica",267
"2020","Drenthe","0119","Meppel","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","34808","B Opleiding tot leraar Basisonderwijs",80
"2020","Drenthe","0119","Meppel","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","35514","B International Teacher Education for Primary Schools (ITEps)",431
"2020","Drenthe","0119","Meppel","reguliere inst.","master","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","hogere kaderopleiding pedagogiek","44113","M Pedagogiek",29
"2020","Flevoland","0034","Almere","reguliere inst.","associate degree","01VU","Christelijke Hogeschool Windesheim","ECONOMIE","n.v.t. (economie)","80080","Ad Ondernemen",134
"2020","Flevoland","0034","Almere","reguliere inst.","associate degree","01VU","Christelijke Hogeschool Windesheim","ECONOMIE","n.v.t. (economie)","80103","Ad Commerciele Economie",133
"2020","Flevoland","0034","Almere","reguliere inst.","associate degree","01VU","Christelijke Hogeschool Windesheim","ECONOMIE","n.v.t. (economie)","80113","Ad Management",125
"2020","Flevoland","0034","Almere","reguliere inst.","associate degree","01VU","Christelijke Hogeschool Windesheim","ECONOMIE","n.v.t. (economie)","80143","Ad Finance",80
"2020","Flevoland","0034","Almere","reguliere inst.","associate degree","01VU","Christelijke Hogeschool Windesheim","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","80140","Ad Sociaal Werk",52
"2020","Flevoland","0034","Almere","reguliere inst.","associate degree","01VU","Christelijke Hogeschool Windesheim","ONDERWIJS","leraar basisonderwijs","80142","Ad Pedagogisch Educatief Professional",51
"2020","Flevoland","0034","Almere","reguliere inst.","associate degree","01VU","Christelijke Hogeschool Windesheim","TECHNIEK","n.v.t. (techniek)","80034","Ad Bouwkunde",69
"2020","Flevoland","0034","Almere","reguliere inst.","associate degree","01VU","Christelijke Hogeschool Windesheim","TECHNIEK","n.v.t. (techniek)","80130","Ad Software Development",149
"2020","Flevoland","0034","Almere","reguliere inst.","associate degree","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","80028","Ad Bedrijfskunde en Agribusiness",16
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","ECONOMIE","n.v.t. (economie)","34035","B Bedrijfskunde",299
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","ECONOMIE","n.v.t. (economie)","34402","B Commerciele Economie",362
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","ECONOMIE","n.v.t. (economie)","34405","B Communicatie",160
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","ECONOMIE","n.v.t. (economie)","34609","B Human Resource Management",227
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","ECONOMIE","n.v.t. (economie)","35520","B Finance & Control",231
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","ECONOMIE","n.v.t. (economie)","39205","B HBO - Rechten",318
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","34116","B Social Work",638
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","34560","B Opleiding tot Verpleegkundige",336
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","34578","B Opleiding voor Logopedie",173
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","ONDERWIJS","leraar basisonderwijs","34808","B Opleiding tot leraar Basisonderwijs",347
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","TECHNIEK","n.v.t. (techniek)","30020","B HBO-ICT",529
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","TECHNIEK","n.v.t. (techniek)","30038","B Ruimtelijke Ontwikkeling",82
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","TECHNIEK","n.v.t. (techniek)","30107","B Engineering",165
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","TECHNIEK","n.v.t. (techniek)","34263","B Bouwkunde",137
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","30009","B Toegepaste Biologie",550
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","30033","B Geo Media & Design",61
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","34866","B Bedrijfskunde en Agribusiness",42
"2020","Flevoland","0034","Almere","reguliere inst.","master","01VU","Christelijke Hogeschool Windesheim","ONDERWIJS","lerarenopleidingen speciaal onderwijs","44103","M Educational Needs",19
"2020","Flevoland","0303","Dronten","reguliere inst.","associate degree","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","80006","Ad Dier- en Veehouderij",110
"2020","Flevoland","0303","Dronten","reguliere inst.","associate degree","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","80012","Ad Tuinbouw en Akkerbouw",55
"2020","Flevoland","0303","Dronten","reguliere inst.","associate degree","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","80028","Ad Bedrijfskunde en Agribusiness",138
"2020","Flevoland","0303","Dronten","reguliere inst.","bachelor","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","34866","B Bedrijfskunde en Agribusiness",854
"2020","Flevoland","0303","Dronten","reguliere inst.","bachelor","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","34868","B Tuinbouw en Akkerbouw",291
"2020","Flevoland","0303","Dronten","reguliere inst.","bachelor","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","34869","B Dier- en Veehouderij",1008
"2020","Flevoland","0303","Dronten","reguliere inst.","master","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","49137","M Agribusiness Development",16
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","80023","Ad Omgevingskunde",12
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","80044","Ad Melkveehouderij",100
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","80069","Ad Duurzame Watertechnologie",-1
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","80070","Ad Duurzaam Bodembeheer",-1
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","80141","Ad Voedingsmiddelentechnologie",21
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","80009","Ad Tourism Management",83
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","80010","Ad Ondernemerschap & Retail Management",234
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","80040","Ad Leisure & Events Management",116
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","80041","Ad Hotel Management",144
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","80065","Ad Finance & Control",81
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","80073","Ad Human Resource Management",155
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","80150","Ad Online Contentcreator",119
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","80151","Ad Creative Media Professional",60
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","80140","Ad Sociaal Werk",65
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","80166","Ad Didactisch Educatief Professional",29
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","80024","Ad IT Service Management",27
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","80067","Ad Maritieme Techniek",24
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","25BE","Hanzehogeschool Groningen","TAAL_EN_CULTUUR","opleidingen op het gebied van de kunst","30041","B Popular Culture",224
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","30HD","Hogeschool Van Hall Larenstein","ECONOMIE","n.v.t. (economie)","30029","B International Business",27
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","34284","B Milieukunde",220
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","34333","B Diermanagement",740
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","34856","B Voedingsmiddelentechnologie",173
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","34859","B Management van de Leefomgeving",119
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","34866","B Bedrijfskunde en Agribusiness",129
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","34868","B Tuinbouw en Akkerbouw",71
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","34869","B Dier- en Veehouderij",231
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","39204","B Kust en Zee Management",305
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","39305","B Forensisch Laboratoriumonderzoek",145
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","30HD","Hogeschool Van Hall Larenstein","TECHNIEK","n.v.t. (techniek)","34331","B Biotechnologie",219
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","30029","B International Business",579
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","34035","B Bedrijfskunde",558
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","34402","B Commerciele Economie",358
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","34405","B Communicatie",290
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","34406","B Accountancy",196
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","34411","B Hotel Management",2750
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","34419","B European Studies",182
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","34464","B Bestuurskunde/Overheidsmanagement",257
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","34609","B Human Resource Management",275
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","35516","B Creative Business",1038
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","35517","B Finance, Tax and Advice",111
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","35520","B Finance & Control",185
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","35521","B Leisure & Events Management",674
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","35523","B Ondernemerschap & Retail Management",478
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","35524","B Tourism Management",672
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","39205","B HBO - Rechten",388
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","39268","B Integrale Veiligheidskunde",621
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","34116","B Social Work",1267
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","35158","B Pedagogiek",609
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","34560","B Opleiding tot Verpleegkundige",1060
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","34644","B Vaktherapie",257
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","34808","B Opleiding tot leraar Basisonderwijs",810
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","lerarenopleidingen op het gebied van de kunst","34745","B Docent Theater",101
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","lerarenopleidingen op het gebied van de kunst","39100","B Docent Beeldende Kunst en Vormgeving",73
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35144","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Fries",19
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35193","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Duits",118
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35195","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Engels",498
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35196","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Frans",47
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35197","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Geschiedenis",251
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35198","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Nederlands",300
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35199","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Scheikunde",84
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35201","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Aardrijkskunde",99
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35207","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Economie",178
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35221","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Wiskunde",180
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35261","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Natuurkunde",99
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35301","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Biologie",133
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35388","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Gezondheidszorg en Welzijn",177
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35411","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Maatschappijleer",120
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35421","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in omgangskunde",148
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","30020","B HBO-ICT",634
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","30038","B Ruimtelijke Ontwikkeling",88
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","34092","B Communication and Multimedia Design",690
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","34263","B Bouwkunde",227
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","34267","B Elektrotechniek",129
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","34275","B Chemische Technologie",63
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","34276","B Maritieme Techniek",132
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","34279","B Civiele Techniek",87
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","34280","B Werktuigbouwkunde",197
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","34331","B Biotechnologie",112
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","34396","B Chemie",94
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","34397","B Biologie en Medisch Laboratoriumonderzoek",152
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","34421","B Technische Bedrijfskunde",253
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","35168","B Toegepaste Wiskunde",137
