"DIPLOMAJAAR","PROVINCIENAAM","GEMEENTENUMMER","GEMEENTENAAM","SOORT_INSTELLING","INSTELLINGSCODE_ACTUEEL","INSTELLINGSNAAM_ACTUEEL","ONDERDEEL","SUBONDERDEEL","OPLEIDINGSCODE_ACTUEEL","OPLEIDINGSNAAM_ACTUEEL","SOORT_DIPLOMA","AANTAL_GEDIPLOMEERDEN"
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","34578","B Opleiding voor Logopedie","hbo bachelor",26
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","ONDERWIJS","leraar basisonderwijs","34808","B Opleiding tot leraar Basisonderwijs","hbo bachelor",27
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","ONDERWIJS","leraar basisonderwijs","80142","Ad Pedagogisch Educatief Professional","hbo associate degree",14
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","ONDERWIJS","lerarenopleidingen speciaal onderwijs","44103","M Educational Needs","hbo master",16
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","TECHNIEK","n.v.t. (techniek)","30020","B HBO-ICT","hbo bachelor",45
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","TECHNIEK","n.v.t. (techniek)","30038","B Ruimtelijke Ontwikkeling","hbo bachelor",7
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","TECHNIEK","n.v.t. (techniek)","30107","B Engineering","hbo bachelor",26
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","TECHNIEK","n.v.t. (techniek)","34263","B Bouwkunde","hbo bachelor",19
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","TECHNIEK","n.v.t. (techniek)","80034","Ad Bouwkunde","hbo associate degree",12
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","TECHNIEK","n.v.t. (techniek)","80130","Ad Software Development","hbo associate degree",37
"2019","Flevoland","0034","Almere","reguliere inst.","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","30009","B Toegepaste Biologie","hbo bachelor",76
"2019","Flevoland","0034","Almere","reguliere inst.","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","30033","B Geo Media & Design","hbo bachelor",-1
"2019","Flevoland","0034","Almere","reguliere inst.","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","34866","B Bedrijfskunde en Agribusiness","hbo bachelor",10
"2019","Flevoland","0303","Dronten","reguliere inst.","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","34866","B Bedrijfskunde en Agribusiness","hbo bachelor",112
"2019","Flevoland","0303","Dronten","reguliere inst.","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","34868","B Tuinbouw en Akkerbouw","hbo bachelor",48
"2019","Flevoland","0303","Dronten","reguliere inst.","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","34869","B Dier- en Veehouderij","hbo bachelor",143
"2019","Flevoland","0303","Dronten","reguliere inst.","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","49137","M Agribusiness Development","hbo master",11
"2019","Flevoland","0303","Dronten","reguliere inst.","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","80006","Ad Dier- en Veehouderij","hbo associate degree",8
"2019","Flevoland","0303","Dronten","reguliere inst.","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","80012","Ad Tuinbouw en Akkerbouw","hbo associate degree",-1
"2019","Flevoland","0303","Dronten","reguliere inst.","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","80028","Ad Bedrijfskunde en Agribusiness","hbo associate degree",27
"2019","Friesland","0080","Leeuwarden","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","ONDERWIJS","lerarenopleidingen speciaal onderwijs","44103","M Educational Needs","hbo master",9
"2019","Friesland","0080","Leeuwarden","reguliere inst.","25BE","Hanzehogeschool Groningen","TAAL_EN_CULTUUR","opleidingen op het gebied van de kunst","30041","B Popular Culture","hbo bachelor",26
