"DIPLOMAJAAR","PROVINCIENAAM","GEMEENTENUMMER","GEMEENTENAAM","SOORT_INSTELLING","INSTELLINGSCODE_ACTUEEL","INSTELLINGSNAAM_ACTUEEL","ONDERDEEL","SUBONDERDEEL","SOORT_DIPLOMA","OPLEIDINGSVORM","AANTAL_GEDIPLOMEERDEN"
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo associate degree","VT",14
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo bachelor","DT",5
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo bachelor","VT",303
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo master","DT",-1
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo master","VT",-1
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","TECHNIEK","n.v.t. (techniek)","hbo bachelor","VT",38
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","hbo associate degree","DT",8
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","hbo associate degree","DU",58
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","hbo associate degree","VT",101
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","hbo bachelor","DT",24
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","hbo bachelor","DU",52
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","hbo bachelor","VT",1447
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","hbo master","VT",79
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo associate degree","DT",-1
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo bachelor","DT",21
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo bachelor","VT",292
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo bachelor","DT",33
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo bachelor","VT",167
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo master","DT",12
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo master","VT",-1
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","hbo bachelor","VT",130
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","lerarenopleidingen op het gebied van de kunst","hbo bachelor","VT",32
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","hbo bachelor","DT",147
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","hbo bachelor","VT",143
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","hbo master","DT",26
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","SECTOROVERSTIJGEND","sectoroverstijgend","hbo master","VT",6
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","hbo associate degree","VT",-1
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","hbo bachelor","DT",9
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","hbo bachelor","VT",357
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","hbo master","DT",7
"2019","Friesland","0093","Terschelling","reguliere inst.","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","hbo bachelor","VT",83
"2019","Friesland","0093","Terschelling","reguliere inst.","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","hbo master","DT",-1
"2019","Gelderland","0200","Apeldoorn","reguliere inst.","23AH","Saxion Hogeschool","ECONOMIE","n.v.t. (economie)","hbo bachelor","DT",14
"2019","Gelderland","0200","Apeldoorn","reguliere inst.","23AH","Saxion Hogeschool","ECONOMIE","n.v.t. (economie)","hbo bachelor","VT",151
"2019","Gelderland","0202","Arnhem","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","ECONOMIE","n.v.t. (economie)","hbo associate degree","DT",49
"2019","Gelderland","0202","Arnhem","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","ECONOMIE","n.v.t. (economie)","hbo associate degree","DU",36
"2019","Gelderland","0202","Arnhem","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","ECONOMIE","n.v.t. (economie)","hbo bachelor","DT",63
"2019","Gelderland","0202","Arnhem","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","ECONOMIE","n.v.t. (economie)","hbo bachelor","DU",44
"2019","Gelderland","0202","Arnhem","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","ECONOMIE","n.v.t. (economie)","hbo bachelor","VT",577
"2019","Gelderland","0202","Arnhem","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","ECONOMIE","n.v.t. (economie)","hbo master","VT",23
"2019","Gelderland","0202","Arnhem","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","ONDERWIJS","leraar basisonderwijs","hbo bachelor","VT",59
"2019","Gelderland","0202","Arnhem","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","TECHNIEK","n.v.t. (techniek)","hbo associate degree","DT",34
"2019","Gelderland","0202","Arnhem","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","TECHNIEK","n.v.t. (techniek)","hbo bachelor","DT",96
"2019","Gelderland","0202","Arnhem","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","TECHNIEK","n.v.t. (techniek)","hbo bachelor","VT",670
"2019","Gelderland","0202","Arnhem","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","TECHNIEK","n.v.t. (techniek)","hbo master","DT",10
"2019","Gelderland","0202","Arnhem","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","TECHNIEK","n.v.t. (techniek)","hbo master","VT",40
"2019","Gelderland","0202","Arnhem","reguliere inst.","27NF","ArtEZ","ONDERWIJS","lerarenopleidingen op het gebied van de kunst","hbo bachelor","DT",19
"2019","Gelderland","0202","Arnhem","reguliere inst.","27NF","ArtEZ","ONDERWIJS","lerarenopleidingen op het gebied van de kunst","hbo bachelor","VT",48
"2019","Gelderland","0202","Arnhem","reguliere inst.","27NF","ArtEZ","TAAL_EN_CULTUUR","opleidingen op het gebied van de kunst","hbo bachelor","VT",96
"2019","Gelderland","0202","Arnhem","reguliere inst.","27NF","ArtEZ","TAAL_EN_CULTUUR","opleidingen voortgezette bouwkunst","hbo master","DT",5
"2019","Gelderland","0202","Arnhem","reguliere inst.","27NF","ArtEZ","TAAL_EN_CULTUUR","voortgezette kunstopleidingen","hbo master","VT",79
"2019","Gelderland","0222","Doetinchem","reguliere inst.","09OT","Iselinge Hogeschool","ONDERWIJS","leraar basisonderwijs","hbo bachelor","DT",19
"2019","Gelderland","0222","Doetinchem","reguliere inst.","09OT","Iselinge Hogeschool","ONDERWIJS","leraar basisonderwijs","hbo bachelor","VT",57
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","ECONOMIE","n.v.t. (economie)","hbo associate degree","DT",-1
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","ECONOMIE","n.v.t. (economie)","hbo bachelor","DT",-1
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","ECONOMIE","n.v.t. (economie)","hbo bachelor","VT",144
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo associate degree","DT",8
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo associate degree","DU",32
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo bachelor","DT",49
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo bachelor","DU",-1
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo bachelor","VT",154
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo bachelor","DT",6
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo bachelor","DU",42
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo bachelor","VT",95
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo master","DT",15
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","ONDERWIJS","leraar basisonderwijs","hbo associate degree","DT",7
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","ONDERWIJS","leraar basisonderwijs","hbo bachelor","DT",9
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","ONDERWIJS","leraar basisonderwijs","hbo bachelor","DU",9
